Fecha,Importaciones,Exportaciones
1991/01,3663.408,3256.379
1991/02,3557.444,3133.354
1991/03,3517.526,3386.678
1991/04,4207.025,3713.11
1991/05,4186.364,3680.416
1991/06,3996.218,3477.767
1991/07,4439,3648.653
1991/08,4218.664,3497.12
1991/09,4195.825,3576.016
1991/10,4764.087,4055.973
1991/11,4668.998,3705.89
1991/12,4552.001,3556.164
1992/01,4261.307,3169.735
1992/02,4469.103,3358.682
1992/03,5217.605,4043.384
1992/04,4945.608,3701.545
1992/05,5070.167,3756.704
1992/06,5546.097,4118.518
1992/07,5478.773,3857.904
1992/08,4992.936,3858.392
1992/09,5331.744,4003.727
1992/10,5767.35,4315.999
1992/11,5365.409,3914.296
1992/12,5683.251,4096.737
1993/01,4615.875,3491.025
1993/02,5052.105,3824.112
1993/03,5716.663,4454.157
1993/04,5189.932,4131.085
1993/05,5200.38,4125.457
1993/06,5929.171,4789.999
1993/07,5537.398,4151.908
1993/08,5286.125,4219.402
1993/09,5502.726,4446.892
1993/10,5705.325,4923.708
1993/11,5732.15,4649.174
1993/12,5898.692,4679.05
1994/01,5552.008,4089.07
1994/02,6035.607,4531.315
1994/03,6485.486,5155.533
1994/04,6074.339,4655.097
1994/05,6607.078,5096.665
1994/06,6936.622,5315.984
1994/07,6302.575,4757.6
1994/08,6988.692,5271.435
1994/09,6567.235,5035.115
1994/10,7190.078,5555.65
1994/11,7607.415,6108.348
1994/12,6998.766,5310.387
1995/01,6240.11,5932.391
1995/02,5595.888,6066.195
1995/03,6353.999,6788.153
1995/04,4968.974,5864.53
1995/05,6036.843,7027.839
1995/06,6026.798,6739.092
1995/07,5388.871,6048.581
1995/08,6407.248,7099.164
1995/09,6076.49,6939.424
1995/10,6628.123,7346.393
1995/11,6438.24,6909.189
1995/12,6291.483,6780.603
1996/01,6475.299,7142.79
1996/02,6622.052,7112.474
1996/03,6838.704,7615.113
1996/04,7077.139,7915.54
1996/05,7482.769,8075.42
1996/06,6849.638,7615.922
1996/07,7617.602,8003.292
1996/08,7526.405,7857.667
1996/09,7691.149,8386.121
1996/10,9031.28,9299.12
1996/11,8258.266,8467.329
1996/12,7998.463,8508.952
