CLAVE,SITIO,CUENCA,CUERPO_DE_AGUA,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,TIPO,SUBTIPO,LONGITUD,LATITUD,ANIO,DBO_mg/L,DQO_mg/L,SST_mg/L,SDT_mg/L,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_SDT,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_SDT,SEMAFORO,GRUPO
DLAGU48,PRESA MAL PASO COLA,RIO JUCHIPILA 1,PRESA MALPASO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,LENTICO,PRESA,-102.6479,21.85779,2016,0.5,27.9,6.75,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLBAJ66,"BAHIA DE LA PAZ SEG 25, 1 ISA9",COSTERO,BAHIA DE LA PAZ,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,COSTERO,BAHIA,-110.42209,24.11737,2016,ND,ND,10,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ67,HUMEDALES EL MOGOTE - ENSENADA DE LA PAZ 1,COSTERO,BAHIA DE LA PAZ,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,COSTERO,BAHIA,-110.35493,24.11762,2016,ND,ND,72.5,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ78,EL SARGENTO Y LA VENTANA,COSTERO,BAHIA LA VENTANA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,COSTERO,BAHIA,-109.99047,24.07696,2016,ND,ND,7.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ84,ENSENADA LOS MUERTOS,COSTERO,BAHIA DE MUERTOS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,COSTERO,BAHIA,-109.83324,23.98474,2016,ND,ND,13.75,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ85,MANANTIAL SAN JOSE DEL CABO,SAN JOSE DEL CABO,SAN JOSE DEL CABO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,LOTICO,ARROYO,-109.700278,23.09,2016,0.5,2.5,7.25,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ86,LOS BARRILES,COSTERO,BAHIA LAS PALMAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,COSTERO,BAHIA,-109.692581,23.692007,2016,ND,ND,12.75,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ87,BUENAVISTA,COSTERO,BAHIA LAS PALMAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,BAHIA,-109.69636,23.67178,2016,ND,ND,12.75,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ88,LA RIBERA,COSTERO,GOLFO DE CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,OCEANO-MAR,-109.6072,23.62191,2016,ND,ND,13,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ89,CABO PULMO 2,COSTERO,OCEANO PACIFICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,OCEANO-MAR,-109.426257,23.434978,2016,ND,ND,4,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ90,CABO PULMO 1,CABO PULMO,OCEANO PACIFICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,OCEANO-MAR,-109.42467,23.404212,2016,ND,ND,12,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLAGU51M1,PRESA ABELARDO RODRIGUEZ 100M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIAGARA,PRESA ABELARDO RODRIGUEZ,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,LENTICO,PRESA,-102.4286,21.91633,2016,2.505,44.31,11.25,ND,Excelente,Contaminada,Excelente,ND,SI,NO,SI,ND,Rojo,LENTICO
DLAGU52,COLA DE LA PRESA ABELARDO RODRIGUEZ 2000M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIAGARA,PRESA ABELARDO RODRIGUEZ,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,LENTICO,PRESA,-102.43485,21.9116,2016,4.075,70.905,12.25,ND,Buena calidad,Contaminada,Excelente,ND,SI,NO,SI,ND,Rojo,LENTICO
DLAGU53,PRESA ABELARDO RODRIGUEZ 1000M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIAGARA,PRESA ABELARDO RODRIGUEZ,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,LENTICO,PRESA,-102.4331,21.91555,2016,4.375,72.57,11.25,ND,Buena calidad,Contaminada,Excelente,ND,SI,NO,SI,ND,Rojo,LENTICO
DLAGU8,PRESA EL SAUCILLO 100M AGUAS ARRIBA DE LA CORTINA,RIO SAN PEDRO,PRESA EL SAUCILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,LENTICO,PRESA,-102.33911,22.2473,2016,0.5,12.75,2.5,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LENTICO
DLBAJ100,"LOS CABOS SEG 22, 2 ISA10B",COSTERO,OCEANO PACIFICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,OCEANO-MAR,-109.842896,22.90473,2016,ND,ND,14.75,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ101,"LOS CABOS SEG 22, 1 ISA10B",COSTERO,OCEANO PACIFICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,OCEANO-MAR,-109.864419,22.8988,2016,ND,ND,12.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ102,LOS CABOS 3,COSTERO,BAHIA SAN LUCAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,BAHIA,-109.886041,22.896087,2016,ND,ND,16.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ103,LOS CABOS 1,SAN LUCAS,BAHIA SAN LUCAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,BAHIA,-109.896574,22.876935,2016,ND,ND,7,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ104,BAHIA CABO SAN LUCAS,COSTERO,BAHIA SAN LUCAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,BAHIA,-109.9025,22.88,2016,ND,ND,12.25,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ105,LOS CABOS 2,COSTERO,BAHIA SAN LUCAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,COSTERO,BAHIA,-109.9054,22.8831,2016,ND,ND,17.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ106M1,LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,TODOS SANTOS,TODOS SANTOS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LENTICO (HUMEDAL),LAGUNA,-110.239019,23.439303,2016,38.88,659,114.5,ND,Contaminada,Fuertemente contaminada,Aceptable,ND,NO,NO,SI,ND,Rojo,LENTICO
DLBAJ109,MANANTIAL SAN REGIS,TODOS SANTOS,TODOS SANTOS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOTICO,ARROYO,-110.22379,23.45805,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ112,AGUA CALIENTE II,SANTIAGO,SANTIAGO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,LOTICO,ARROYO,-109.80786,23.43995,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ120,BOCA DE LA SIERRA,SAN JOSE DEL CABO,SAN JOSE DEL CABO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,LOTICO,RIO,-109.827745,23.3889,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ121,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,LAS POCITAS-SAN HILARIO,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOTICO (HUMEDAL),ARROYO,-110.951528,24.502889,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ123,OASIS DE LA SIERRA EL PILAR 2,LAS POCITAS-SAN HILARIO,CUERPO DE AGUA DEL HUMEDAL,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOTICO,RIO,-111.00268,24.46953,2016,0.5,16.085,2.5,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ124,MANANTIAL CADUA&O,SAN JOSE DEL CABO,SAN JOSE DEL CABO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,LOTICO,CANAL,-109.77912,23.337,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ126,MANANTIAL SAN BARTOLO,SAN BARTOLO,SAN BARTOLO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOTICO,ARROYO,-109.84545,23.73546,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ132,HUMEDAL LOS COMONDU 1,MEZQUITAL SECO,HUMEDAL LOS COMONDU 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,LOTICO (HUMEDAL),ARROYO,-111.80531,26.06218,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ133,ESTERO EL COYOTE,COSTERO,ESTERO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,ESTERO,-113.46249,26.80955,2016,ND,ND,21.75,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ134,ESTERO SAN JORGE LA POZA GRANDE,COSTERO,ESTERO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,COSTERO,ESTERO,-112.09347,25.69695,2016,ND,ND,31.5,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ135,HUMEDAL LOS COMONDU 2,MEZQUITAL SECO,HUMEDAL LOS COMONDU 2,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,LOTICO (HUMEDAL),ARROYO,-111.8325,26.03686,2016,0.5,12.05,2.5,ND,Excelente,Buena calidad,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ138,PARQUE NACIONAL BAHIA DE LORETO 1,COSTERO,GOLFO DE CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,COSTERO,BAHIA,-111.23517,25.7233,2016,ND,ND,2.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
