n1,n2,n2,n4,m1,m2
172,73,7,100,19058,1.46
154,66,7,200,12148,1.62
154,73,7,200,25275,1.59
163,69.5,7.5,150,20785,1.74
172,73,8,100,19624,1.4
154,73,8,100,14240,1.44
163,69.5,7.5,50,21396,2
154,73,7,100,19707,1.34
154,66,7,100,13896,1.59
163,69.5,7.5,250,27208,1.47
154,66,8,100,14402,1.69
172,73,8,200,22134,1.56
163,69.5,6.5,150,19718,1.87
163,69.5,8.5,150,23436,1.73
172,66,7,100,22792,1.58
163,69.5,7.5,150,21275,1.57
163,76.5,7.5,150,17863,1.53
172,66,8,200,25114,1.91
154,66,8,200,24960,1.81
163,62.5,7.5,150,21785,1.52
145,69.5,7.5,150,19792,1.91
163,69.5,7.5,150,22570,1.69
172,66,8,100,9558,1.77
172,73,7,200,22550,1.7
172,66,7,200,25611,2.19
181,69.5,7.5,150,21383,1.91
163,69.5,7.5,150,24543,1.96
154,73,8,200,23026,1.86
163,69.5,7.5,150,21785,1.93
163,69.5,7.5,150,22026,1.92
163,69.5,7.5,150,22067,2
